iter	Passed	Remaining
0	20	20712
1	45	22778
2	69	23117
3	92	23051
4	114	22865
5	136	22545
6	157	22345
7	180	22348
8	200	22026
9	223	22170
10	246	22203
11	271	22368
12	299	22704
13	319	22488
14	343	22547
15	368	22671
16	391	22657
17	415	22673
18	440	22746
19	461	22628
20	486	22671
21	506	22524
22	526	22385
23	551	22443
24	572	22314
25	592	22190
26	619	22313
27	638	22177
28	660	22110
29	685	22173
30	711	22243
31	739	22358
32	764	22396
33	788	22399
34	820	22626
35	844	22618
36	872	22719
37	896	22689
38	922	22726
39	949	22793
40	971	22730
41	993	22663
42	1018	22660
43	1038	22558
44	1061	22520
45	1083	22479
46	1104	22402
47	1128	22388
48	1150	22320
49	1171	22255
50	1199	22320
51	1219	22229
52	1240	22172
53	1265	22163
54	1285	22082
55	1307	22044
56	1331	22026
57	1353	21987
58	1374	21927
59	1398	21913
60	1419	21849
61	1442	21820
62	1466	21804
63	1486	21738
64	1508	21702
65	1530	21659
66	1551	21606
67	1575	21600
68	1598	21571
69	1619	21513
70	1644	21515
71	1664	21454
72	1685	21408
73	1709	21393
74	1730	21343
75	1751	21291
76	1775	21283
77	1797	21251
78	1821	21232
79	1844	21209
80	1864	21153
81	1886	21114
82	1910	21108
83	1931	21058
84	1953	21025
85	1978	21022
86	1997	20964
87	2020	20941
88	2044	20926
89	2063	20866
90	2087	20853
91	2110	20832
92	2130	20777
93	2155	20776
94	2176	20736
95	2197	20694
96	2224	20707
97	2262	20826
98	2288	20827
99	2309	20788
100	2332	20761
101	2356	20748
102	2377	20705
103	2400	20681
104	2423	20660
105	2444	20614
106	2465	20578
107	2488	20550
108	2508	20505
109	2530	20474
110	2553	20448
111	2574	20409
112	2594	20367
113	2619	20358
114	2639	20312
115	2662	20291
116	2688	20288
117	2706	20231
118	2733	20236
119	2756	20213
120	2777	20176
121	2801	20159
122	2822	20126
123	2843	20084
124	2866	20068
125	2887	20031
126	2909	19998
127	2933	19984
128	2955	19956
129	2977	19924
130	3001	19911
131	3021	19865
132	3042	19832
133	3066	19817
134	3086	19774
135	3107	19742
136	3132	19732
137	3153	19700
138	3176	19676
139	3200	19658
140	3220	19620
141	3243	19601
142	3267	19580
143	3288	19548
144	3311	19528
145	3334	19502
146	3354	19466
147	3378	19450
148	3400	19419
149	3420	19383
150	3443	19361
151	3464	19329
152	3485	19298
153	3510	19286
154	3531	19250
155	3552	19219
156	3575	19197
157	3596	19166
158	3619	19143
159	3643	19126
160	3662	19087
161	3684	19057
162	3710	19050
163	3731	19022
164	3755	19003
165	3779	18986
166	3800	18957
167	3824	18941
168	3846	18913
169	3866	18879
170	3892	18872
171	3913	18838
172	3933	18804
173	3958	18790
174	3978	18756
175	4001	18736
176	4024	18713
177	4045	18681
178	4067	18656
179	4091	18639
180	4112	18607
181	4133	18579
182	4164	18591
183	4188	18573
184	4214	18567
185	4236	18540
186	4258	18515
187	4283	18502
188	4304	18469
189	4326	18443
190	4349	18423
191	4370	18392
192	4392	18365
193	4414	18339
194	4435	18308
195	4456	18280
196	4480	18262
197	4501	18231
198	4521	18201
199	4545	18180
200	4566	18153
201	4589	18129
202	4612	18107
203	4631	18073
204	4655	18055
205	4681	18043
206	4702	18013
207	4754	18101
208	4777	18080
